freq,wst_oper,stk_flow,unit,geo\TIME_PERIOD	2010 	2012 	2014 	2016 	2018 	2020 
A,DSP_OTH,BAL_TRD,T,UK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,AT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,BE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,BG	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,CY	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,CZ	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,DE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,DK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,EE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,EL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,ES	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,EU27_2020	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,FI	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,FR	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,HR	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,HU	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,IE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,IT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,LT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,LU	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,LV	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,MT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,NL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,PL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,PT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,RO	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,SE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,SI	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,SK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,EXP,T,UK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,FLOW_GRS,T,AT	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,BE	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,BG	155197 	27192 	44211 	78036 	60980 	95296 
A,DSP_OTH,FLOW_GRS,T,CY	1199 	174 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,CZ	117691 	39448 	16191 	4060 	: bc	: c
A,DSP_OTH,FLOW_GRS,T,DE	19803 	10392 	13763 	20475 	30428 	19829 
A,DSP_OTH,FLOW_GRS,T,DK	0 	81190 	87692 	88454 	870 	1040 
A,DSP_OTH,FLOW_GRS,T,EE	0 	0 	0 	0 	0 	107 
A,DSP_OTH,FLOW_GRS,T,EL	1333064 	1657781 	1322927 	1563998 	1479819 	284697 
A,DSP_OTH,FLOW_GRS,T,ES	36007 	270185 	2373 	4006 	6034 	12353 
A,DSP_OTH,FLOW_GRS,T,EU27_2020	3780000 	3790000 	3190000 	3360000 	3210000 	1170000 
A,DSP_OTH,FLOW_GRS,T,FI	49993 	39971 	24965 	29139 	32269 	17145 
A,DSP_OTH,FLOW_GRS,T,FR	642319 	816187 	794974 	711411 	728059 	557543 
A,DSP_OTH,FLOW_GRS,T,HR	417028 	5590 	12465 	7675 	8843 	8314 
A,DSP_OTH,FLOW_GRS,T,HU	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,IE	8100 	32213 	56846 	138610 	70841 	: 
A,DSP_OTH,FLOW_GRS,T,IT	0 	927 	0 	0 	3129 	0 
A,DSP_OTH,FLOW_GRS,T,LT	80221 	22035 	10495 	13898 	12002 	11893 
A,DSP_OTH,FLOW_GRS,T,LU	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,LV	7573 	48889 	125209 	175 	15498 	10488 
A,DSP_OTH,FLOW_GRS,T,MT	353 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,NL	25686 	36603 	46970 	69863 	83222 	81766 
A,DSP_OTH,FLOW_GRS,T,PL	59252 	31872 	34120 	7921 	177 	704 
A,DSP_OTH,FLOW_GRS,T,PT	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,RO	735806 	550489 	556035 	585881 	605802 	2935 
A,DSP_OTH,FLOW_GRS,T,SE	33735 	18433 	3083 	2485 	12443 	42103 
A,DSP_OTH,FLOW_GRS,T,SI	158 	53 	0 	0 	0 	0 
A,DSP_OTH,FLOW_GRS,T,SK	55500 	96055 	41962 	35284 	62032 	22470 
A,DSP_OTH,FLOW_GRS,T,UK	187684 	0 	0 	0 	0 	: 
A,DSP_OTH,FLOW_NET,T,AT	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,BE	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,BG	155197 	27192 	44211 	78036 	60980 	95296 
A,DSP_OTH,FLOW_NET,T,CY	1199 	174 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,CZ	117691 	39448 	16191 	4060 	: c	: c
A,DSP_OTH,FLOW_NET,T,DE	19803 	10392 	13763 	20475 	30428 	19829 
A,DSP_OTH,FLOW_NET,T,DK	0 	81190 	87692 	88454 	870 	1040 
A,DSP_OTH,FLOW_NET,T,EE	0 	0 	0 	0 	0 	107 
A,DSP_OTH,FLOW_NET,T,EL	1333064 	1657781 	1322927 	1563998 	1479819 	284697 
A,DSP_OTH,FLOW_NET,T,ES	36007 	270185 	2373 	4006 	6034 	12353 
A,DSP_OTH,FLOW_NET,T,EU27_2020	3780000 	3790000 	3190000 	3360000 	3210000 	1170000 
A,DSP_OTH,FLOW_NET,T,FI	49993 	39971 	24965 	29139 	32269 	17145 
A,DSP_OTH,FLOW_NET,T,FR	642319 	816187 	794974 	711411 	728059 	557543 
A,DSP_OTH,FLOW_NET,T,HR	417028 	5590 	12465 	7675 	8843 	8314 
A,DSP_OTH,FLOW_NET,T,HU	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,IE	8100 	32213 	56846 	138610 	70841 	: 
A,DSP_OTH,FLOW_NET,T,IT	0 	927 	0 	0 	3129 	0 
A,DSP_OTH,FLOW_NET,T,LT	80221 	22035 	10495 	13898 	12002 	11893 
A,DSP_OTH,FLOW_NET,T,LU	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,LV	7573 	48889 	125209 	175 	15498 	10488 
A,DSP_OTH,FLOW_NET,T,MT	353 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,NL	25686 	36603 	46970 	69863 	83222 	81766 
A,DSP_OTH,FLOW_NET,T,PL	59252 	31872 	34120 	7921 	177 	704 
A,DSP_OTH,FLOW_NET,T,PT	0 	0 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,RO	735806 	550489 	556035 	585881 	605802 	2935 
A,DSP_OTH,FLOW_NET,T,SE	33735 	18433 	3083 	2485 	12443 	42103 
A,DSP_OTH,FLOW_NET,T,SI	158 	53 	0 	0 	0 	0 
A,DSP_OTH,FLOW_NET,T,SK	55500 	96055 	41962 	35284 	62032 	22470 
A,DSP_OTH,FLOW_NET,T,UK	187684 	0 	0 	0 	0 	: 
A,DSP_OTH,IMP,T,AT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,BE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,BG	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,CY	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,CZ	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,DE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,DK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,EE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,EL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,ES	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,EU27_2020	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,FI	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,FR	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,HR	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,HU	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,IE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,IT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,LT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,LU	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,LV	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,MT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,NL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,PL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,PT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,RO	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,SE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,SI	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,SK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,IMP,T,UK	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,AT	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,BE	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,BG	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,CY	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,CZ	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,DE	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,DK	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,EE	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,EL	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,ES	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,EU27_2020	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,FI	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,FR	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,HR	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,HU	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,IE	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,IT	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,LT	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,LU	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,LV	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,MT	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,NL	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,PL	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,PT	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,RO	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,SE	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,SI	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,SK	: z	: z	: z	: z	: z	: z
A,RCV_B,BAL_TRD,T,UK	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,AT	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,BE	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,BG	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,CY	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,CZ	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,DE	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,DK	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,EE	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,EL	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,ES	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,EU27_2020	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,FI	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,FR	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,HR	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,HU	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,IE	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,IT	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,LT	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,LU	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,LV	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,MT	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,NL	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,PL	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,PT	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,RO	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,SE	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,SI	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,SK	: z	: z	: z	: z	: z	: z
A,RCV_B,EXP,T,UK	: z	: z	: z	: z	: z	: z
A,RCV_B,FLOW_GRS,T,AT	0 	0 	45413 	1885 	1620 	2354 
A,RCV_B,FLOW_GRS,T,BE	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,BG	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,CY	292 	17353 	0 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,CZ	1309063 	907677 	1068666 	1203590 	1018663 b	609504 
A,RCV_B,FLOW_GRS,T,DE	9148335 	7573913 	6452442 	6357839 	5713861 	4879007 
A,RCV_B,FLOW_GRS,T,DK	0 	0 	0 	0 	530767 	174787 
A,RCV_B,FLOW_GRS,T,EE	1589 	120800 	4132 	288241 	62940 	42629 
A,RCV_B,FLOW_GRS,T,EL	15394 	2809 	3414 	21302 	0 	10408 
A,RCV_B,FLOW_GRS,T,ES	46554 	43932 	31481 	28405 	32401 	79064 
A,RCV_B,FLOW_GRS,T,EU27_2020	15920000 	16430000 	12430000 	12280000 	11280000 	16710000 
A,RCV_B,FLOW_GRS,T,FI	0 	0 	0 	0 	155812 	68053 
A,RCV_B,FLOW_GRS,T,FR	2903 	2199 	0 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,HR	0 	0 	2298 	0 	7038 	26885 
A,RCV_B,FLOW_GRS,T,HU	2133 	1457 	0 	0 	0 	8859 
A,RCV_B,FLOW_GRS,T,IE	301813 	371193 	369388 	294406 	305931 	: 
A,RCV_B,FLOW_GRS,T,IT	0 	0 	138 	17 	1 	11 
A,RCV_B,FLOW_GRS,T,LT	0 	0 	0 	0 	0 	7050 
A,RCV_B,FLOW_GRS,T,LU	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,LV	0 	0 	5055 	5187 	41451 	21931 
A,RCV_B,FLOW_GRS,T,MT	342 	439 	275 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,NL	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_GRS,T,PL	4962285 	7029981 	4356952 	3981525 	3253483 	10215544 
A,RCV_B,FLOW_GRS,T,PT	0 	18186 	49829 	46553 	54179 	40574 
A,RCV_B,FLOW_GRS,T,RO	17501 	196806 	22425 	16465 	2304 	41452 
A,RCV_B,FLOW_GRS,T,SE	1359 	114542 	16496 	30061 	94435 	398011 
A,RCV_B,FLOW_GRS,T,SI	105515 	26202 	267 	0 	2568 	1 
A,RCV_B,FLOW_GRS,T,SK	0 	0 	0 	0 	3850 	0 
A,RCV_B,FLOW_GRS,T,UK	136191 	844354 	525286 	793157 	519704 	: 
A,RCV_B,FLOW_NET,T,AT	0 	0 	45413 	1885 	1620 	2354 
A,RCV_B,FLOW_NET,T,BE	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_NET,T,BG	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_NET,T,CY	292 	17353 	0 	0 	0 	0 
A,RCV_B,FLOW_NET,T,CZ	1309063 	907677 	1068666 	1203590 	1018663 	609504 
A,RCV_B,FLOW_NET,T,DE	9148335 	7573913 	6452442 	6357839 	5713861 	4879007 
A,RCV_B,FLOW_NET,T,DK	0 	0 	0 	0 	530767 	174787 
A,RCV_B,FLOW_NET,T,EE	1589 	120800 	4132 	288241 	62940 	42629 
A,RCV_B,FLOW_NET,T,EL	15394 	2809 	3414 	21302 	0 	10408 
A,RCV_B,FLOW_NET,T,ES	46554 	43932 	31481 	28405 	32401 	79064 
A,RCV_B,FLOW_NET,T,EU27_2020	15920000 	16430000 	12430000 	12280000 	11280000 	16710000 
A,RCV_B,FLOW_NET,T,FI	0 	0 	0 	0 	155812 	68053 
A,RCV_B,FLOW_NET,T,FR	2903 	2199 	0 	0 	0 	0 
A,RCV_B,FLOW_NET,T,HR	0 	0 	2298 	0 	7038 	26885 
A,RCV_B,FLOW_NET,T,HU	2133 	1457 	0 	0 	0 	8859 
A,RCV_B,FLOW_NET,T,IE	301813 	371193 	369388 	294406 	305931 	: 
A,RCV_B,FLOW_NET,T,IT	0 	0 	138 	17 	1 	11 
A,RCV_B,FLOW_NET,T,LT	0 	0 	0 	0 	0 	7050 
A,RCV_B,FLOW_NET,T,LU	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_NET,T,LV	0 	0 	5055 	5187 	41451 	21931 
A,RCV_B,FLOW_NET,T,MT	342 	439 	275 	0 	0 	0 
A,RCV_B,FLOW_NET,T,NL	0 	0 	0 	0 	0 	0 
A,RCV_B,FLOW_NET,T,PL	4962285 	7029981 	4356952 	3981525 	3253483 	10215544 
A,RCV_B,FLOW_NET,T,PT	0 	18186 	49829 	46553 	54179 	40574 
A,RCV_B,FLOW_NET,T,RO	17501 	196806 	22425 	16465 	2304 	41452 
A,RCV_B,FLOW_NET,T,SE	1359 	114542 	16496 	30061 	94435 	398011 
A,RCV_B,FLOW_NET,T,SI	105515 	26202 	267 	0 	2568 	1 
A,RCV_B,FLOW_NET,T,SK	0 	0 	0 	0 	3850 	0 
A,RCV_B,FLOW_NET,T,UK	136191 	844354 	525286 	793157 	519704 	: 
A,RCV_B,IMP,T,AT	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,BE	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,BG	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,CY	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,CZ	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,DE	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,DK	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,EE	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,EL	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,ES	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,EU27_2020	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,FI	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,FR	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,HR	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,HU	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,IE	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,IT	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,LT	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,LU	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,LV	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,MT	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,NL	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,PL	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,PT	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,RO	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,SE	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,SI	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,SK	: z	: z	: z	: z	: z	: z
A,RCV_B,IMP,T,UK	: z	: z	: z	: z	: z	: z
A,RCV_E,BAL_TRD,T,AT	-186215 	-138462 	-295490 	-24108 	-350558 	215517 
A,RCV_E,BAL_TRD,T,BE	-1434625 	-1160055 	-1165836 	-538284 	-607756 	-277779 
A,RCV_E,BAL_TRD,T,BG	29745 	21999 	8308 	-16011 	-11422 	: 
A,RCV_E,BAL_TRD,T,CY	0 	-9690 	-11014 	-75970 	-117579 	-154179 
A,RCV_E,BAL_TRD,T,CZ	187746 	137353 	49592 	-55198 	-252275 	-190847 
A,RCV_E,BAL_TRD,T,DE	-604078 s	-501585 s	-863407 s	-180473 s	-200417 s	-73190 s
A,RCV_E,BAL_TRD,T,DK	0 	-201586 	-376028 	-557801 	-490456 	-628570 
A,RCV_E,BAL_TRD,T,EE	72822 	23083 	-41138 	-48791 	: 	: 
A,RCV_E,BAL_TRD,T,EL	: 	: 	: 	: 	-3280 	: 
A,RCV_E,BAL_TRD,T,ES	-213414 	177192 	207336 	37122 	167143 	44213 
A,RCV_E,BAL_TRD,T,EU27_2020	-4300000 	-3190000 	-1690000 	-1730000 	-2910000 	-2970000 
A,RCV_E,BAL_TRD,T,FI	-208721 	-168126 	-72596 	-249372 	-78739 	-266719 
A,RCV_E,BAL_TRD,T,FR	107148 	130270 	152631 	-39939 	-70424 	-192199 
A,RCV_E,BAL_TRD,T,HR	108173 	0 	0 	23708 	-8744 	-31366 
A,RCV_E,BAL_TRD,T,HU	2906 	7077 	46055 	-49139 	19948 	-55303 
A,RCV_E,BAL_TRD,T,IE	6218 	16121 	9470 	17191 s	58586 	: 
A,RCV_E,BAL_TRD,T,IT	308661 s	87865 s	277487 s	449616 s	652737 s	820536 s
A,RCV_E,BAL_TRD,T,LT	-24857 	-48588 	-76036 	4712 	-46115 	: 
A,RCV_E,BAL_TRD,T,LU	27490 	48665 	21761 	-4715 	-18723 	-50659 
A,RCV_E,BAL_TRD,T,LV	: 	: 	: 	: 	82215 	-123214 
A,RCV_E,BAL_TRD,T,MT	0 	1737 	425 	0 	161 	102 
A,RCV_E,BAL_TRD,T,NL	1262280 	40952 	121130 	-32743 	-547073 	-57812 
A,RCV_E,BAL_TRD,T,PL	171148 	-85414 	385066 	335530 	433593 	177522 
A,RCV_E,BAL_TRD,T,PT	125424 	84940 	159793 	84775 	-93399 	-72608 
A,RCV_E,BAL_TRD,T,RO	0 d	0 d	0 d	0 d	18163 d	708 d
A,RCV_E,BAL_TRD,T,SE	-973335 	-1313543 	-1184479 	-1459250 	-1585802 	: 
A,RCV_E,BAL_TRD,T,SI	25847 	39635 	95582 	71831 	131217 	145494 
A,RCV_E,BAL_TRD,T,SK	0 d	0 d	0 d	0 d	28441 d	-59691 d
A,RCV_E,BAL_TRD,T,UK	127571 	427951 	892770 	887385 	: 	: 
A,RCV_E,EXP,T,AT	334045 	456608 	512579 	378626 	457466 	515993 
A,RCV_E,EXP,T,BE	444566 	522995 	427926 	284568 	218602 	276954 
A,RCV_E,EXP,T,BG	30210 	27407 	13572 	2037 	10767 	: 
A,RCV_E,EXP,T,CY	0 	0 	0 	0 	0 	0 
A,RCV_E,EXP,T,CZ	286841 	269358 	255320 	208490 	10245 	8160 
A,RCV_E,EXP,T,DE	1093157 s	1208328 s	1265728 s	918860 s	1039960 s	906155 s
A,RCV_E,EXP,T,DK	0 	39626 	48414 	61986 	58843 	69539 
A,RCV_E,EXP,T,EE	95967 	64799 	13777 	360 	: 	: 
A,RCV_E,EXP,T,EL	: 	: 	: 	: 	25071 	: 
A,RCV_E,EXP,T,ES	230473 	248377 	311128 	163075 	349796 	297515 
A,RCV_E,EXP,T,EU27_2020	9600000 	5520000 	4060000 	4210000 	4780000 	4560000 
A,RCV_E,EXP,T,FI	202893 	145782 	205770 	26381 	56365 	24040 
A,RCV_E,EXP,T,FR	485511 	583561 	467333 	293902 	559648 	569246 
A,RCV_E,EXP,T,HR	126743 	0 	0 	23708 	10529 	15310 
A,RCV_E,EXP,T,HU	98490 	104280 	126987 	38643 	24913 	35164 
A,RCV_E,EXP,T,IE	18080 	25208 	12341 	28311 s	66048 	: 
A,RCV_E,EXP,T,IT	409922 s	151907 s	377561 s	535648 s	653380 s	822277 s
A,RCV_E,EXP,T,LT	72073 	86525 	84735 	60977 	101901 	: 
A,RCV_E,EXP,T,LU	44611 	59591 	60436 	31454 	28616 	19784 
A,RCV_E,EXP,T,LV	: 	: 	: 	: 	82384 	19855 
A,RCV_E,EXP,T,MT	0 	1737 	425 	0 	161 	102 
A,RCV_E,EXP,T,NL	1523582 	1249348 	354574 	88112 	-384120 	226848 
A,RCV_E,EXP,T,PL	335341 	177996 	558939 	405586 	596679 	350284 
A,RCV_E,EXP,T,PT	125424 	84940 	159793 	84775 	79188 	79711 
A,RCV_E,EXP,T,RO	0 d	0 d	0 d	0 d	77070 d	32764 d
A,RCV_E,EXP,T,SE	37161 	97493 	89746 	89604 	85397 	: 
A,RCV_E,EXP,T,SI	236850 	251368 	262952 	160693 	203403 	174890 
A,RCV_E,EXP,T,SK	0 d	0 d	0 d	0 d	63801 d	74197 d
A,RCV_E,EXP,T,UK	155595 	444140 	922145 	928226 	: 	: 
A,RCV_E,FLOW_GRS,T,AT	1363260 	3279646 	: c	: c	: c	: c
A,RCV_E,FLOW_GRS,T,BE	4792021 	4670449 	5524006 	5490417 	5494211 	3920595 
A,RCV_E,FLOW_GRS,T,BG	143940 	171682 	193684 	461872 	634272 	655316 
A,RCV_E,FLOW_GRS,T,CY	7475 	11167 	30894 	74111 	131818 	185652 
A,RCV_E,FLOW_GRS,T,CZ	762754 	954703 	1014798 	1030393 	1200186 b	1381838 
A,RCV_E,FLOW_GRS,T,DE	27626164 	32990486 	37850641 	: c	45347674 	43992544 
A,RCV_E,FLOW_GRS,T,DK	3103928 	3282205 	3403441 	3474291 	3317907 	3392217 
A,RCV_E,FLOW_GRS,T,EE	332270 	345441 	512840 	505418 	392335 	334531 
A,RCV_E,FLOW_GRS,T,EL	126148 	118046 	137441 	219944 	298902 	367005 
A,RCV_E,FLOW_GRS,T,ES	2523031 	3269202 	3535204 	3829145 	3564633 	3444984 
A,RCV_E,FLOW_GRS,T,EU27_2020	85340000 	97800000 	105290000 	119810000 	127580000 	126770000 
A,RCV_E,FLOW_GRS,T,FI	9785774 	10124820 	4285063 	5441148 	5983330 	5824093 
A,RCV_E,FLOW_GRS,T,FR	12172290 	11609063 	13350281 	16472669 	17770228 	22450673 
A,RCV_E,FLOW_GRS,T,HR	107358 	38355 	45683 	28807 	73708 	209154 
A,RCV_E,FLOW_GRS,T,HU	858257 	960016 	1222294 	1032007 	1087016 	1310779 
A,RCV_E,FLOW_GRS,T,IE	167689 	403049 	720351 	558142 	1205620 	: 
